0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
67   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /opt/solr-4.10.4/example/contexts at interval 0
4961 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/opt/solr-4.10.4/example/solr/ezp-default/conf
4977 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Loaded LinkedHashMap at path _rest_managed.json using file:dir=/opt/solr-4.10.4/example/solr/ezp-default/conf
4977 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResource  – Loaded initArgs {} for /rest/managed
4977 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
4978 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Initializing spell checkers
4990 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.spelling.DirectSolrSpellChecker  – init: {name=default,field=ezf_sp_words,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
5009 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – No queryConverter defined, using default converter
5010 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.clustering.ClusteringComponent  – Initializing Clustering Engines
5066 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine  – Initializing Clustering Engine 'lingo'
5101 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine  – Initializing Clustering Engine 'stc'
5113 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine  – Initializing Clustering Engine 'kmeans'
5132 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.clustering.ClusteringComponent  – Default engine for search results clustering: lingo
5132 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.clustering.ClusteringComponent  – Finished Initializing Clustering Engines
5133 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.QueryElevationComponent  – Loading QueryElevation from: /opt/solr-4.10.4/example/solr/ezp-default/conf/elevate.xml
5176 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.ReplicationHandler  – Commits will be reserved for  10000
5181 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@7d28f0ce[ezp-default] main{StandardDirectoryReader(segments_3fz:14440:nrt _3ua(4.10.4):C2214/3:delGen=2 _3ub(4.10.4):C1 _3uc(4.10.4):C1 _3ue(4.10.4):C2 _3uf(4.10.4):C1 _3ug(4.10.4):C1 _3ui(4.10.4):C1 _3uj(4.10.4):C2 _3ul(4.10.4):C1)}
5333 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [ezp-default] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=151 
5333 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
5333 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Loading spell index for spellchecker: default
5334 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Loading spell index for spellchecker: wordbreak
5335 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [ezp-default] Registered new searcher Searcher@7d28f0ce[ezp-default] main{StandardDirectoryReader(segments_3fz:14440:nrt _3ua(4.10.4):C2214/3:delGen=2 _3ub(4.10.4):C1 _3uc(4.10.4):C1 _3ue(4.10.4):C2 _3uf(4.10.4):C1 _3ug(4.10.4):C1 _3ui(4.10.4):C1 _3uj(4.10.4):C2 _3ul(4.10.4):C1)}
5339 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: ezp-default
5340 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/opt/solr-4.10.4/example
5340 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
5381 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
6593541 [qtp1816757085-23] INFO  org.apache.solr.core.SolrCore  – [ezp-default] webapp=/solr path=/select params={qt=ezpublish&hl=true&indent=on&fl=meta_guid_ms+meta_installation_id_ms+meta_main_url_alias_ms+meta_installation_url_ms+meta_id_si+meta_main_node_id_si+meta_language_code_ms+meta_name_t+score+meta_published_dt+meta_path_string_ms+meta_main_path_string_ms+meta_is_invisible_b+[elevated]+&hl.requireFieldMatch=true&start=0&hl.fragsize=200&sort=score+desc&fq=meta_path_si:2&fq=((meta_installation_id_ms:5e017d2375dc39c2a1f82a283eabfa35+AND+((+(+meta_section_id_si:1+OR+meta_section_id_si:3+))))++)+AND+meta_is_invisible_b:false&fq=meta_contentclass_id_si:14+OR+meta_contentclass_id_si:22+OR+meta_contentclass_id_si:18+OR+meta_contentclass_id_si:2&fq=meta_language_code_ms:ger-DE&rows=100&version=2.2&hl.simple.pre=<b>&bq=meta_installation_id_ms:5e017d2375dc39c2a1f82a283eabfa35^1.5+meta_language_code_ms:ger-DE^1.2&hl.snippets=1&q=fqi&forceElevation=false&enableElevation=true&hl.simple.post=</b>&qf=attr_box_name_t+attr_comb_name_t+attr_content_type_t+attr_name_t+attr_process_owner_t+attr_section_t+attr_teaser_t+attr_url_t+attr_xml_block_t+attr_xml_content_t+meta_name_t+meta_owner_name_t&clustering=false&hl.fl=attr_box_name_t+attr_comb_name_t+attr_content_type_t+attr_name_t+attr_process_owner_t+attr_section_t+attr_teaser_t+attr_url_t+attr_xml_block_t+attr_xml_content_t&wt=php} hits=648 status=0 QTime=3913 
