INFO  - 2017-03-31 07:41:42.949; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-03-31 07:41:42.957; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-03-31 07:41:42.958; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2017-03-31 07:41:42.961; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-03-31 07:41:42.961; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-03-31 07:41:42.962; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-03-31 07:41:42.963; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-03-31 07:41:42.967; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-03-31 07:41:42.968; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-03-31 07:41:42.968; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-03-31 07:41:42.968; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-03-31 07:41:42.971; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-03-31 07:41:42.977; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-03-31 07:41:42.981; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-03-31 07:41:42.994; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-03-31 07:41:43.004; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-03-31 07:41:43.005; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-03-31 07:41:43.005; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-03-31 07:41:43.006; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-03-31 07:41:43.006; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2017-03-31 07:41:43.006; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2017-03-31 07:41:43.006; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-03-31 07:41:43.006; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-03-31 07:41:43.009; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-03-31 07:41:43.010; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-03-31 07:41:43.054; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-03-31 07:41:43.063; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-03-31 07:41:43.064; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-03-31 07:41:43.070; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-03-31 07:41:43.072; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-03-31 07:41:43.168; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-03-31 07:41:43.169; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-03-31 07:41:43.329; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/opt/solr-4.10.4/example/solr/ezp-default/data/index lockFactory=NativeFSLockFactory@/opt/solr-4.10.4/example/solr/ezp-default/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_3fz,generation=4463}
INFO  - 2017-03-31 07:41:43.333; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 4463
INFO  - 2017-03-31 07:41:43.518; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@7d28f0ce[ezp-default] main
INFO  - 2017-03-31 07:41:43.531; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /opt/solr-4.10.4/example/solr/ezp-default/conf
INFO  - 2017-03-31 07:41:43.531; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/opt/solr-4.10.4/example/solr/ezp-default/conf}
INFO  - 2017-03-31 07:41:43.545; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/opt/solr-4.10.4/example/solr/ezp-default/conf
INFO  - 2017-03-31 07:41:43.561; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/opt/solr-4.10.4/example/solr/ezp-default/conf
INFO  - 2017-03-31 07:41:43.561; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2017-03-31 07:41:43.561; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2017-03-31 07:41:43.562; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-03-31 07:41:43.574; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=ezf_sp_words,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-03-31 07:41:43.593; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-03-31 07:41:43.594; org.apache.solr.handler.clustering.ClusteringComponent; Initializing Clustering Engines
INFO  - 2017-03-31 07:41:43.650; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'lingo'
INFO  - 2017-03-31 07:41:43.685; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'stc'
INFO  - 2017-03-31 07:41:43.697; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'kmeans'
INFO  - 2017-03-31 07:41:43.716; org.apache.solr.handler.clustering.ClusteringComponent; Default engine for search results clustering: lingo
INFO  - 2017-03-31 07:41:43.716; org.apache.solr.handler.clustering.ClusteringComponent; Finished Initializing Clustering Engines
INFO  - 2017-03-31 07:41:43.717; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /opt/solr-4.10.4/example/solr/ezp-default/conf/elevate.xml
INFO  - 2017-03-31 07:41:43.760; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-03-31 07:41:43.765; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@7d28f0ce[ezp-default] main{StandardDirectoryReader(segments_3fz:14440:nrt _3ua(4.10.4):C2214/3:delGen=2 _3ub(4.10.4):C1 _3uc(4.10.4):C1 _3ue(4.10.4):C2 _3uf(4.10.4):C1 _3ug(4.10.4):C1 _3ui(4.10.4):C1 _3uj(4.10.4):C2 _3ul(4.10.4):C1)}
INFO  - 2017-03-31 07:41:43.917; org.apache.solr.core.SolrCore; [ezp-default] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=151 
INFO  - 2017-03-31 07:41:43.917; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2017-03-31 07:41:43.917; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2017-03-31 07:41:43.918; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2017-03-31 07:41:43.919; org.apache.solr.core.SolrCore; [ezp-default] Registered new searcher Searcher@7d28f0ce[ezp-default] main{StandardDirectoryReader(segments_3fz:14440:nrt _3ua(4.10.4):C2214/3:delGen=2 _3ub(4.10.4):C1 _3uc(4.10.4):C1 _3ue(4.10.4):C2 _3uf(4.10.4):C1 _3ug(4.10.4):C1 _3ui(4.10.4):C1 _3uj(4.10.4):C2 _3ul(4.10.4):C1)}
INFO  - 2017-03-31 07:41:43.923; org.apache.solr.core.CoreContainer; registering core: ezp-default
INFO  - 2017-03-31 07:41:43.924; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/opt/solr-4.10.4/example
INFO  - 2017-03-31 07:41:43.924; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-03-31 07:41:43.965; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2017-03-31 09:31:32.125; org.apache.solr.core.SolrCore; [ezp-default] webapp=/solr path=/select params={qt=ezpublish&hl=true&indent=on&fl=meta_guid_ms+meta_installation_id_ms+meta_main_url_alias_ms+meta_installation_url_ms+meta_id_si+meta_main_node_id_si+meta_language_code_ms+meta_name_t+score+meta_published_dt+meta_path_string_ms+meta_main_path_string_ms+meta_is_invisible_b+[elevated]+&hl.requireFieldMatch=true&start=0&hl.fragsize=200&sort=score+desc&fq=meta_path_si:2&fq=((meta_installation_id_ms:5e017d2375dc39c2a1f82a283eabfa35+AND+((+(+meta_section_id_si:1+OR+meta_section_id_si:3+))))++)+AND+meta_is_invisible_b:false&fq=meta_contentclass_id_si:14+OR+meta_contentclass_id_si:22+OR+meta_contentclass_id_si:18+OR+meta_contentclass_id_si:2&fq=meta_language_code_ms:ger-DE&rows=100&version=2.2&hl.simple.pre=<b>&bq=meta_installation_id_ms:5e017d2375dc39c2a1f82a283eabfa35^1.5+meta_language_code_ms:ger-DE^1.2&hl.snippets=1&q=fqi&forceElevation=false&enableElevation=true&hl.simple.post=</b>&qf=attr_box_name_t+attr_comb_name_t+attr_content_type_t+attr_name_t+attr_process_owner_t+attr_section_t+attr_teaser_t+attr_url_t+attr_xml_block_t+attr_xml_content_t+meta_name_t+meta_owner_name_t&clustering=false&hl.fl=attr_box_name_t+attr_comb_name_t+attr_content_type_t+attr_name_t+attr_process_owner_t+attr_section_t+attr_teaser_t+attr_url_t+attr_xml_block_t+attr_xml_content_t&wt=php} hits=648 status=0 QTime=3913 
